file,x1,x2,y1,y2
3953073564.jpg,29,161,32,145
386891249.jpg,54,138,53,130
3743856885.jpg,22,199,25,177
4758382348.jpg,37,179,37,171
18945268.jpg,86,115,91,110
3005794070.jpg,51,160,48,150
2962045.jpg,51,145,47,133
145074777.jpg,39,161,40,151
3189955469.jpg,80,106,86,108
3496048941.jpg,102,127,102,129
3154099645.jpg,67,115,66,117
4763209871.jpg,77,96,76,94
3455836079.jpg,64,140,68,136
4425356623.jpg,59,147,54,136
3190306185.jpg,101,139,99,140
18945268.jpg,86,115,91,110
2219451836.jpg,29,189,32,176
332368134.jpg,101,177,99,170
246526320.jpg,72,95,75,96
3726202356.jpg,57,141,56,140
3907299992.jpg,45,148,48,138
229840376.jpg,83,108,84,108
3117510822.jpg,95,121,101,128
170453766.jpg,85,118,88,119
18945268.jpg,86,115,91,110
2422219264.jpg,46,174,45,183
4283515433.jpg,71,95,72,94
170557401.jpg,75,127,82,123
3733440395.jpg,119,136,121,140
4152379789.jpg,77,103,80,98
229746392.jpg,50,158,54,143
3270912795.jpg,65,99,64,97
4763210295.jpg,73,89,72,86
3733440395.jpg,119,136,121,140
3906524725.jpg,73,125,73,122
3585256422.jpg,77,118,80,116
4486111617.jpg,81,121,82,117
4448830339.jpg,59,79,59,78
4371354206.jpg,97,129,96,129
3539566827.jpg,99,118,101,119
2789662807.jpg,44,152,42,145
3369768399.jpg,60,135,61,134
3117510822.jpg,95,121,101,128
321721915.jpg,59,131,63,121
185712356.jpg,34,184,34,180
18945268.jpg,86,115,91,110
202435355.jpg,46,158,45,150
50471578.jpg,19,187,17,169
3189955469.jpg,80,106,86,108
2406598998.jpg,57,159,59,150
4152379789.jpg,77,103,80,98
779749903.jpg,31,190,26,184
3270912795.jpg,65,99,64,97
4283515483.jpg,82,110,79,105
3539566827.jpg,99,118,101,119
3256349355.jpg,48,145,50,135
542894584.jpg,77,108,80,104
2792685284.jpg,46,140,43,119
3831371619.jpg,88,130,80,129
3539566827.jpg,99,118,101,119
229840376.jpg,83,108,84,108
3831371619.jpg,88,130,80,129
3539566827.jpg,99,118,101,119
3117510822.jpg,95,121,101,128
3270912795.jpg,65,99,64,97
2463686290.jpg,62,111,63,109
2356560497.jpg,40,162,36,156
3577850173.jpg,77,98,79,98
4376175015.jpg,70,108,75,106
2618900486.jpg,80,135,81,132
2364685038.jpg,29,181,30,162
3301525494.jpg,43,172,41,168
3777915073.jpg,82,114,86,113
3907306684.jpg,36,171,33,162
2978106177.jpg,29,178,29,170
3577850173.jpg,77,98,79,98
3577850173.jpg,77,98,79,98
3415435326.jpg,46,148,48,141
42948260.jpg,25,197,25,182
2121332821.jpg,51,163,49,157
3547613093.jpg,61,145,59,146
3953073564.jpg,29,161,32,145
3733440395.jpg,119,136,121,140
3117510822.jpg,95,121,101,128
542894584.jpg,77,108,80,104
2463686290.jpg,62,111,63,109
2519368987.jpg,72,108,72,104
3539566827.jpg,99,118,101,119
4749057567.jpg,29,175,28,162
557839607.jpg,66,101,65,97
4376175015.jpg,70,108,75,106
3759339764.jpg,67,110,83,112
18945268.jpg,86,115,91,110
4771735876.jpg,70,95,71,95
2169121853.jpg,38,162,40,145
3777915073.jpg,82,114,86,113
3761584256.jpg,54,150,55,136
4013254976.jpg,50,156,54,141
2435838064.jpg,37,169,36,161
3117510822.jpg,95,121,101,128
